Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Group,Population,X,Y,Latitude,Longitude,Elevation (m),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,Preview link
426,Folesterby,Altnesterby,Altnesterby Territory,Orporpor,Orporpor Theocracy,Angshire,Bramburghism,town,5183,1152.02,419.37,25.05,26.31,36,16°C,Dubrovnik (Croatia),,,citadel,,,,,{t1:pally-argent-gules;ordinaries:[{ordinary:bendlet;t:azure;line:straight}];charges:[{charge:crescent;t:or;p:joe;size:0.3}];shield:wedged},https://watabou.github.io/city-generator/?name=Folesterby&population=5183&size=24&seed=2563131000426&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
427,Padston,Helcosia,Helcosia County,Peina,Principality of Peina,Angshire,Tamanian Heresy,town,5074,1084.17,546.49,18.97,23.07,169,18°C,Barcelona (Spain),,,,,,,,{t1:argent;charges:[{charge:rake;t:purpure;p:e;size:1.5}];shield:wedged},https://watabou.github.io/city-generator/?name=Padston&population=5074&size=24&seed=2563131000427&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
428,Aniken,Ayurt,Ayurt County,Boy,Boyan Khaganate,Turchian,Kocapism,town,1080,712.12,355.94,28.08,5.27,16,14°C,Washington (D.C.),,,,walls,,,,{t1:azure;division:{division:perCross;t:argent;line:rayonne};charges:[{charge:crossHummetty;t:or;p:e;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Aniken&population=1080&size=13&seed=2563131000428&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
429,Aber,Bonaraberg,Bonaraberg Parish,Aberleith,Thearchy of Aberleith,Keltan,Treaberlese Pantheon,town,5490,686.8,533.42,19.6,4.06,36,19°C,Marrakesh (Morocco),,,,,,,,{t1:sable;ordinaries:[{ordinary:pile;t:or}];charges:[{charge:butterfly;t:sable;p:b;t2:sable;t3:sable;size:0.5}];shield:oval},https://watabou.github.io/city-generator/?name=Aber&population=5490&size=25&seed=2563131000429&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
430,Depe,Uyurt,Uyurt County,Stansburia,Stansburian Empire,Turchian,Kocapism,town,9890,786.07,361.67,27.81,8.81,100,13°C,Milan (Italy),,port,,,,,,{t1:argent;division:{division:perCross;t:azure;line:straight};ordinaries:[{ordinary:saltire;t:sable;line:straight;divided:counter}];shield:round},https://watabou.github.io/city-generator/?name=Depe&population=9890&size=31&seed=2563131000430&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=1.63
431,Celleparno,Celleparno,Celleparno County,Aciasecia,Principality of Aciasecia,Tallian,Faith of Fateaux,town,877,138.33,571.46,17.78,-22.18,625,16°C,Dubrovnik (Croatia),,,citadel,,,,,{t1:purpure;ordinaries:[{ordinary:bordure;t:argent}];charges:[{charge:crescent;t:argent;p:jleh;size:0.5}];shield:horsehead},https://watabou.github.io/city-generator/?name=Celleparno&population=877&size=12&seed=2563131000431&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
432,Yama,Sarprakdi,Sarprakdi Seneschalty,Boy,Boyan Khaganate,Turchian,Kocapism,town,2321,450.72,373.91,27.22,-7.24,144,13°C,Milan (Italy),,port,,,,,,{t1:gules;division:{division:perPale;t:argent;line:straight};charges:[{charge:crossPatriarchal;t:or;p:e;divided:field;size:1.5};{charge:monk;t:purpure;p:e;divided:division;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Yama&population=2321&size=18&seed=2563131000432&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=0.9
433,Bayraya Te,Galokseki,Galokseki Earldom,Sazkyurt,Beylik of Sazkyurt,Turchian,Kocapism,village,2723,307.46,543.68,19.11,-14.09,841,14°C,Washington (D.C.),,,,,,,,{t1:argent;charges:[{charge:lanceHead;t:sable;p:e;size:1.5}];shield:round},https://watabou.github.io/village-generator/?pop=2723&name=Bayraya+Te&seed=2563131000433&width=1600&height=780&style=default&tags=dead+end%2Cno+square%2Cdense
434,Dekibide,Yramka,Yramka Dependency,Stansburia,Stansburian Empire,Turchian,Kocapism,village,1031,824.26,358.76,27.95,10.63,4,14°C,Washington (D.C.),,,,,,,,{t1:gules;division:{division:perPale;t:argent;line:wavy};charges:[{charge:bell;t:or;p:p;t2:or;size:0.7};{charge:castle;t:azure;p:q;size:0.7}];shield:round},https://watabou.github.io/village-generator/?pop=1031&name=Dekibide&seed=2563131000434&width=1400&height=683&style=default&tags=dead+end%2Cno+square%2Cdense
435,Chearmortei,Beia,Beia Shire,Boy,Boyan Khaganate,Keltan,Kocapism,town,839,665.05,488.73,21.73,3.02,100,17°C,Lisbon (Portugal),,,,,,,,{t1:azure;division:{division:perPale;t:argent;line:straight};charges:[{charge:crossFormee2;t:or;p:jo;divided:field;size:0.7};{charge:wyvernWithWingsDisplayed;t:purpure;p:e;divided:division;size:1.5}];shield:oval},https://watabou.github.io/city-generator/?name=Chearmortei&population=839&size=12&seed=2563131000435&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
436,Bazobaraok,Galu,Galu Territory,Boy,Boyan Khaganate,Turchian,Kocapism,town,691,647.56,269.9,32.2,2.18,169,10°C,London (England),,,,,,,,{t1:or;division:{division:perPale;t:purpure;line:wavy};charges:[{charge:grapeBunch2;t:gules;p:p;t2:azure;t3:sable;size:0.7};{charge:elephantHeadErased;t:or;p:q;size:0.7}];shield:round},https://watabou.github.io/city-generator/?name=Bazobaraok&population=691&size=11&seed=2563131000436&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
437,Sidminter,Maldock,Maldock County,Stansburia,Stansburian Empire,Angshire,Bramburghism,town,426,926.33,294.27,31.03,15.52,100,11°C,Antwerp (Belgium),,port,,,,,,{t1:or;charges:[{charge:lambPassantReguardant;t:purpure;p:e;t2:purpure;size:1.5}];shield:wedged},https://watabou.github.io/city-generator/?name=Sidminter&population=426&size=10&seed=2563131000437&river=0&coast=1&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=0.87
438,Cerinbey,Yramka,Yramka Dependency,Stansburia,Stansburian Empire,Turchian,Kocapism,town,6180,825.53,375.52,27.15,10.69,16,14°C,Washington (D.C.),,port,,,,,,{t1:or;charges:[{charge:drakkar;t:vert;p:e;t2:vert;t3:vert;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Cerinbey&population=6180&size=26&seed=2563131000438&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=1.32
439,Vetro,Sezesezia,Sezesezia County,Aciasecia,Principality of Aciasecia,Tallian,Tallian Spirits,town,3346,256.55,453.67,23.41,-16.53,2500,1°C,Arkhangelsk (Russia),,,citadel,,,,,{t1:azure;ordinaries:[{ordinary:fess;t:or;line:angled}];charges:[{charge:raven;t:sable;p:e;t2:sable;size:0.7}];shield:horsehead},https://watabou.github.io/city-generator/?name=Vetro&population=3346&size=20&seed=2563131000439&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
440,Epitacalina,Amphia,Amphia Shire,Peina,Principality of Peina,Elladan,Tamanian Heresy,village,265,1102.99,583.94,17.18,23.97,25,20°C,Alexandria (Egypt),,port,,,,,,{t1:sable;charges:[{charge:roundel;t:argent;p:e;size:1.5}];shield:boeotian},https://watabou.github.io/village-generator/?pop=265&name=Epitacalina&seed=2563131000440&width=800&height=390&style=default&tags=coast%2Chighway%2Cuncultivated%2Cno+square
441,Meungny,Ivria,Ivria Parish,Puines,Puinian Theocracy,Luari,Luari Doctrine,town,4412,211.28,329.28,29.36,-18.69,441,10°C,London (England),,,,,,,,{t1:azure;charges:[{charge:armEmbowedHoldingSabre;t:argent;p:e;t2:argent;t3:argent;size:1.5}];shield:french},https://watabou.github.io/city-generator/?name=Meungny&population=4412&size=23&seed=2563131000441&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
442,Bouille,Grandeur,Grandeur Territory,Sounevandilia,Duchy of Sounevandilia,Luari,Faith of Fateaux,town,879,28.96,477.74,22.26,-27.41,16,17°C,Lisbon (Portugal),,,,walls,,,,{t1:gules;charges:[{charge:lighthouse;t:argent;p:e;t2:argent;t3:argent;size:1.5}];shield:french},https://watabou.github.io/city-generator/?name=Bouille&population=879&size=12&seed=2563131000442&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
443,Chawcester,Chawcester,Chawcester Parish,Orporpor,Orporpor Theocracy,Angshire,Bramburghism,city,558,990.16,364.17,27.69,18.57,49,14°C,Washington (D.C.),,port,citadel,,,,,{t1:argent;ordinaries:[{ordinary:saltireParted;t:gules;line:wavy}];charges:[{charge:crossHummetty;t:or;p:e;size:1.5}];shield:wedged},https://watabou.github.io/city-generator/?name=Chawcester&population=558&size=11&seed=2563131000443&river=0&coast=1&farms=0&citadel=1&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=0.52
444,Amphi,Skylbieia,Skylbieia Land,Peina,Principality of Peina,Elladan,Tamanian Heresy,town,937,1108.83,592.86,16.76,24.25,25,21°C,Tegucigalpa (Honduras),,port,,walls,,,,{t1:argent;charges:[{charge:wolfPassant;t:azure;p:abcpqh;t2:sable;t3:gules;size:0.5}];shield:boeotian},https://watabou.github.io/city-generator/?name=Amphi&population=937&size=13&seed=2563131000444&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural&sea=0.33
445,Koyuraka,Yramka,Yramka Dependency,Stansburia,Stansburian Empire,Turchian,Kocapism,town,4244,828.21,346.29,28.54,10.82,9,13°C,Milan (Italy),,,,,,,,{t1:sable;division:{division:perPale;t:maily-argent-purpure;line:straight};charges:[{charge:boarHeadErased;t:or;p:p;t2:or;t3:or;size:0.7};{charge:sabresCrossed;t:azure;p:q;size:0.7}];shield:round},https://watabou.github.io/city-generator/?name=Koyuraka&population=4244&size=22&seed=2563131000445&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
446,Rohrtaldin,Enheim,Enheim Clan,Malscken,Grand Duchy of Malscken,Shwazen,Shwazen Religion,town,922,388.64,430.28,24.53,-10.21,1225,8°C,Prague (Czechia),,,,,,,,{t1:or;ordinaries:[{ordinary:chevronReversed;t:vert}];charges:[{charge:arbalest;t:vert;p:b;t2:vert;t3:vert;size:0.5}];shield:swiss},https://watabou.github.io/city-generator/?name=Rohrtaldin&population=922&size=13&seed=2563131000446&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
447,Alpsereli,Haudenster,Haudenster Earldom,Malscken,Grand Duchy of Malscken,Turchian,Shwazen Religion,town,543,402.22,466.42,22.8,-9.56,1024,10°C,London (England),,,,,,,,{t1:bendy-vert-or;division:{division:perCross;t:argent;line:straight};charges:[{charge:tower;t:gules;p:e;t2:gules;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Alpsereli&population=543&size=10&seed=2563131000447&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
448,Boigny,Batiliersia,Batiliersia Territory,Sounevandilia,Duchy of Sounevandilia,Luari,Faith of Fateaux,town,592,94.32,481.74,22.07,-24.29,100,16°C,Dubrovnik (Croatia),,,,,,,,{t1:vert;charges:[{charge:hand;t:argent;p:e;size:1.5}];shield:french},https://watabou.github.io/city-generator/?name=Boigny&population=592&size=11&seed=2563131000448&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
449,Devri,Aslanseli,Aslanseli Barony,Boy,Boyan Khaganate,Turchian,Kocapism,town,6743,557.6,442.82,23.93,-2.12,64,16°C,Dubrovnik (Croatia),,port,,,,,,{t1:gules;charges:[{charge:wasp;t:or;p:e;t2:or;t3:or;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Devri&population=6743&size=27&seed=2563131000449&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=0.95
450,Coursain,Messes,Messes Earldom,Sounevandilia,Duchy of Sounevandilia,Luari,Faith of Fateaux,village,3231,64.68,498.86,21.25,-25.71,225,17°C,Lisbon (Portugal),,,citadel,,,,,{t1:gules;charges:[{charge:bowWithThreeArrows;t:or;p:jln;t2:or;t3:or;size:0.7}];shield:french},https://watabou.github.io/village-generator/?pop=3231&name=Coursain&seed=2563131000450&width=1600&height=780&style=default&tags=dead+end%2Cno+square%2Cdense
451,Atoprak,Ayurt,Ayurt County,Boy,Boyan Khaganate,Turchian,Kocapism,town,3383,706.71,349.05,28.41,5.01,25,13°C,Milan (Italy),,port,,walls,,,,{t1:azure;division:{division:perCross;t:argent;line:straight};charges:[{charge:anchor;t:or;p:j;size:0.6};{charge:boarHeadErased;t:vert;p:l;size:0.6};{charge:lymphad;t:gules;p:m;size:0.6};{charge:crossHummetty;t:or;p:o;size:0.6}];shield:round},https://watabou.github.io/city-generator/?name=Atoprak&population=3383&size=21&seed=2563131000451&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural&sea=1.54
452,Portsham,Cleoleshole,Cleoleshole Parish,Orporpor,Orporpor Theocracy,Angshire,Bramburghism,town,7321,993.26,434.72,24.32,18.72,841,11°C,Antwerp (Belgium),,,,,,,,{t1:azure;division:{division:perPile;t:or;line:straight};ordinaries:[{ordinary:pall;t:argent;divided:counter}];shield:wedged},https://watabou.github.io/city-generator/?name=Portsham&population=7321&size=27&seed=2563131000452&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
453,Senny,Marquilles,Marquilles Parish,Puines,Puinian Theocracy,Luari,Luari Doctrine,town,1601,134.73,391.46,26.38,-22.35,25,15°C,Rome (Italy),,,,,,,,{t1:argent;charges:[{charge:cavalier;t:sable;p:e;t2:azure;t3:sable;size:1.5}];shield:french},https://watabou.github.io/city-generator/?name=Senny&population=1601&size=16&seed=2563131000453&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
454,Sella,Trino,Trino County,Aciasecia,Principality of Aciasecia,Tallian,Faith of Fateaux,town,1773,198.29,479.11,22.19,-19.31,529,14°C,Washington (D.C.),,,,,,,,{t1:purpure;division:{division:perFess;t:or;line:wavy};charges:[{charge:arbalest2;t:argent;p:k;size:0.7};{charge:anchor;t:vert;p:n;size:0.7}];shield:horsehead},https://watabou.github.io/city-generator/?name=Sella&population=1773&size=16&seed=2563131000454&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
455,Ertenlerka,Umanyurt,Umanyurt Parish,Yerinte,Imamah of Yerinte,Turchian,Yerinish Creed,town,263,493.8,516.44,20.41,-5.18,49,18°C,Barcelona (Spain),,,,,,,,{t1:gules;ordinaries:[{ordinary:bendletSinister;t:or;line:angled}];charges:[{charge:inescutcheon;t:gules;p:lem;size:0.3};{charge:mullet;t:or;p:lem;size:0.15}];shield:round},https://watabou.github.io/city-generator/?name=Ertenlerka&population=263&size=8&seed=2563131000455&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
456,Kortenka,Aslanseli,Aslanseli Barony,Boy,Boyan Khaganate,Turchian,Kocapism,town,780,566.2,433.52,24.37,-1.71,9,16°C,Dubrovnik (Croatia),,port,,walls,,,,{t1:argent;charges:[{charge:caravel;t:purpure;p:e;t2:purpure;t3:purpure;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Kortenka&population=780&size=12&seed=2563131000456&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural&sea=0.47
458,Muuma,Abeynak,Abeynak Shire,Boy,Boyan Khaganate,Soumi,Kocapism,village,552,536.22,172.86,36.84,-3.15,81,7°C,Montreal (Canada),,,,,,,,{t1:or;charges:[{charge:apple;t:azure;p:e;t2:azure;size:1.5}];shield:pavise},https://watabou.github.io/village-generator/?pop=552&name=Muuma&seed=2563131000458&width=1000&height=488&style=default&tags=dead+end%2Cfarmland%2Cno+square%2Cdense
459,Messes,Messes,Messes Earldom,Sounevandilia,Duchy of Sounevandilia,Luari,Faith of Fateaux,town,634,61.38,491.62,21.6,-25.86,100,17°C,Lisbon (Portugal),,,,,,,,{t1:purpure;division:{division:perPale;t:argent;line:straight};ordinaries:[{ordinary:pilesInPoint;t:or}];shield:french},https://watabou.github.io/city-generator/?name=Messes&population=634&size=11&seed=2563131000459&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
460,Tarbogranoli,Bolinadusia,Bolinadusia Deanery,Sounevandilia,Duchy of Sounevandilia,Tallian,Faith of Fateaux,village,937,97.32,491.74,21.59,-24.14,169,17°C,Lisbon (Portugal),,,,,,,,{t1:gules;ordinaries:[{ordinary:chevron;t:or}];shield:horsehead},https://watabou.github.io/village-generator/?pop=937&name=Tarbogranoli&seed=2563131000460&width=1000&height=488&style=default&tags=highway%2Cno+square%2Cdense
461,Monte,Kaltaylyurt,Kaltaylyurt Area,Sazkyurt,Beylik of Sazkyurt,Tallian,Faith of Fateaux,town,2549,204.56,547.5,18.92,-19.01,1521,9°C,Copenhagen (Denmark),,,,walls,,,,{t1:gules;division:{division:perCross;t:vairAncien-argent-azure;line:straight};charges:[{charge:angel;t:or;p:e;t2:or;size:1.5}];shield:horsehead},https://watabou.github.io/city-generator/?name=Monte&population=2549&size=18&seed=2563131000461&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
462,Pozanovilba,Celleparno,Celleparno County,Aciasecia,Principality of Aciasecia,Tallian,Faith of Fateaux,village,5443,134.68,582.74,17.24,-22.36,289,18°C,Barcelona (Spain),,,,,,,,{t1:or;charges:[{charge:laurelWreath;t:azure;p:e;t2:azure;size:1.5}];shield:horsehead},https://watabou.github.io/village-generator/?pop=5443&name=Pozanovilba&seed=2563131000462&width=1600&height=780&style=default&tags=dead+end%2Cno+square%2Cdense
463,Olataun,Errerangia,Errerangia Territory,Abergia,Kingdom of Abergia,Euskati,Tamanian Heresy,village,657,928.95,653.41,13.86,15.64,121,20°C,Alexandria (Egypt),,,,,,,,{t1:purpure;ordinaries:[{ordinary:pall;t:or}];charges:[{charge:goutte;t:purpure;p:jleh;size:0.5}];shield:oldFrench},https://watabou.github.io/village-generator/?pop=657&name=Olataun&seed=2563131000463&width=1000&height=488&style=default&tags=highway%2Cno+square%2Cdense
464,Innisaber,Fertia,Fertia Parish,Aberleith,Thearchy of Aberleith,Keltan,Treaberlese Pantheon,town,7749,742.88,521.8,20.15,6.74,4,18°C,Barcelona (Spain),,port,,,,,,{t1:maily-azure-argent;ordinaries:[{ordinary:orle;t:or}];charges:[{charge:cavalier;t:or;p:jleh;t2:or;t3:or;size:0.5}];shield:oval},https://watabou.github.io/city-generator/?name=Innisaber&population=7749&size=28&seed=2563131000464&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=1.36
465,Brevilly,Ivria,Ivria Parish,Puines,Puinian Theocracy,Luari,Luari Doctrine,city,1028,215.61,332.64,29.2,-18.49,484,10°C,London (England),,,,,,,,{t1:fusily-argent-sable;charges:[{charge:lionSejant;t:vert;p:e;t2:vert;t3:purpure;size:1.5}];shield:french},https://watabou.github.io/city-generator/?name=Brevilly&population=1028&size=13&seed=2563131000465&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
466,Abeboiosadh,Invermainia,Invermainia County,Abergia,Kingdom of Abergia,Keltan,Bramburghism,town,2893,845.36,536.23,19.46,11.64,64,19°C,Marrakesh (Morocco),,port,,,,,,{t1:argent;charges:[{charge:anchor;t:purpure;p:e;size:1.5}];shield:oval},https://watabou.github.io/city-generator/?name=Abeboiosadh&population=2893&size=19&seed=2563131000466&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=0.76
467,Bova,Erlyurt,Erlyurt Barony,Boy,Boyan Khaganate,Turchian,Kocapism,city,10448,674.86,327.84,29.43,3.49,484,10°C,London (England),,,citadel,walls,plaza,temple,,{t1:gules;charges:[{charge:boat;t:argent;p:e;t2:argent;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Bova&population=10448&size=31&seed=2563131000467&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=0&plaza=1&greens=1&temple=1&walls=1&shantytown=0&style=natural
468,Ghraigarard,Araberfania,Araberfania Parish,Aberleith,Thearchy of Aberleith,Keltan,Treaberlese Pantheon,town,6305,848.58,495.15,21.43,11.8,441,15°C,Rome (Italy),,,,,,,,{t1:or;charges:[{charge:anchor;t:vert;p:e;size:1.5}];shield:oval},https://watabou.github.io/city-generator/?name=Ghraigarard&population=6305&size=26&seed=2563131000468&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
469,Raswebach,Oteria,Oteria Barony,Malscken,Grand Duchy of Malscken,Shwazen,Shwazen Religion,city,9749,379.95,470.94,22.58,-10.62,4,17°C,Lisbon (Portugal),,,citadel,walls,,,,{t1:argent;ordinaries:[{ordinary:pale;t:purpure;line:engrailed}];charges:[{charge:key;t:gules;p:y;size:0.5}];shield:swiss},https://watabou.github.io/city-generator/?name=Raswebach&population=9749&size=31&seed=2563131000469&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
470,Aberg,Invenek,Invenek Parish,Aberleith,Thearchy of Aberleith,Keltan,Treaberlese Pantheon,village,3261,690.77,555.16,18.56,4.25,4,20°C,Alexandria (Egypt),,,,,,,,{t1:sable;charges:[{charge:stagPassant;t:argent;p:e;t2:argent;size:1.5}];shield:oval},https://watabou.github.io/village-generator/?pop=3261&name=Aberg&seed=2563131000470&width=1600&height=780&style=default&tags=isolated%2Cfarmland%2Cno+square%2Cdense
471,Rovinoval,Marvionia,Marvionia Clan,Aciasecia,Principality of Aciasecia,Romian,Faith of Fateaux,town,829,97.06,596.88,16.56,-24.16,196,20°C,Alexandria (Egypt),,,,,,,,{t1:vert;charges:[{charge:horseHeadCouped;t:argent;p:e;size:1.5}];shield:roman},https://watabou.github.io/city-generator/?name=Rovinoval&population=829&size=12&seed=2563131000471&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
472,Abery,Beia,Beia Shire,Boy,Boyan Khaganate,Keltan,Kocapism,town,1261,650.55,486.51,21.84,2.32,64,18°C,Barcelona (Spain),,,,,,,,{t1:gules;division:{division:perPale;t:argent;line:straight};charges:[{charge:inescutcheon;t:or;p:e;size:1.5};{charge:goutte;t:vert;p:e;size:0.75}];shield:oval},https://watabou.github.io/city-generator/?name=Abery&population=1261&size=14&seed=2563131000472&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
473,Montadoricu,Bolinadusia,Bolinadusia Deanery,Chuelia,Diocese of Chuelia,Tallian,Faith of Fateaux,town,603,136.84,508.72,20.78,-22.25,169,17°C,Lisbon (Portugal),,,,,,,,{t1:azure;division:{division:perSaltire;t:counterPotent-or-sable};charges:[{charge:triangle;t:argent;p:b;size:0.5};{charge:sunInSplendour;t:vert;p:d;size:0.5};{charge:sun;t:azure;p:f;size:0.5};{charge:mullet4;t:argent;p:h;size:0.5}];shield:horsehead},https://watabou.github.io/city-generator/?name=Montadoricu&population=603&size=11&seed=2563131000473&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
474,Yazbeykut,Ayaneli,Ayaneli County,Boy,Boyan Khaganate,Turchian,Kocapism,village,597,619.89,452.07,23.49,0.86,225,15°C,Rome (Italy),,,,walls,,,,{t1:azure;ordinaries:[{ordinary:pallReversed;t:argent}];charges:[{charge:crescent;t:azure;p:e;size:0.7}];shield:round},https://watabou.github.io/village-generator/?pop=597&name=Yazbeykut&seed=2563131000474&width=1000&height=488&style=default&tags=dead+end%2Cno+square%2Cpalisade%2Cdense
475,Schweuengen,Hagendorf,Hagendorf Parish,Fischrenia,Bishopric of Fischrenia,Shwazen,Shwazen Religion,town,8095,276.39,456.22,23.29,-15.58,289,15°C,Rome (Italy),,,,walls,,,,{t1:or;charges:[{charge:wolfHeadErased;t:gules;p:e;t2:gules;size:1.5}];shield:swiss},https://watabou.github.io/city-generator/?name=Schweuengen&population=8095&size=29&seed=2563131000475&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
476,Apazobasay,Koca,Koca Parish,Yerinte,Imamah of Yerinte,Turchian,Yerinish Creed,village,1839,452.76,510.14,20.71,-7.14,64,18°C,Barcelona (Spain),,port,,,,,,{t1:sanguine;ordinaries:[{ordinary:saltireParted;t:argent;line:straight}];charges:[{charge:armillarySphere;t:gules;p:e;size:1.5}];shield:round},https://watabou.github.io/village-generator/?pop=1839&name=Apazobasay&seed=2563131000476&width=1600&height=780&style=default&tags=coast%2Chighway%2Cno+square%2Cdense
477,Sobra,Valle,Valle Islands,Sazkyurt,Beylik of Sazkyurt,Portuzian,Pontosism,village,1264,198.6,670.44,13.05,-19.3,25,22°C,Guangzhou (China),,port,,,,,,{t1:or;ordinaries:[{ordinary:bendlet;t:azure;line:straight}];charges:[{charge:garb;t:or;p:joe;t2:or;size:0.3}];shield:renaissance},https://watabou.github.io/village-generator/?pop=1264&name=Sobra&seed=2563131000477&width=1400&height=683&style=default&tags=coast%2Cisolated%2Cuncultivated%2Cno+square%2Cdense
478,Errerangia,Errerangia,Errerangia Territory,Abergia,Kingdom of Abergia,Euskati,Tamanian Heresy,town,827,924.02,653.01,13.88,15.41,4,21°C,Tegucigalpa (Honduras),,port,,,,,,{t1:azure;division:{division:gyronny;t:or};shield:oldFrench},https://watabou.github.io/city-generator/?name=Errerangia&population=827&size=12&seed=2563131000478&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=1.06
